"Figure 2: UK GDP fell by a cumulative 22.1% in the first half of 2020, more than double the fall seen in the United States over this period",""
"Quarter 4 (Oct to Dec) 2019 to Quarter 2 (Apr to Jun) 2020",""
"",""
"Notes","1. Chart shows the percentage change in real GDP in Quarter 2 (Apr to June) 2020 compared with Quarter 4 (Oct to Dec) 2019. 
2. Data as at 11 August 2020.
"
"Unit","%"
"",""
"","Cumulative GDP growth"
"Spain","-22.7"
"United Kingdom","-22.1"
"France","-18.9"
"Italy","-17.1"
"Germany","-11.9"
"United States","-10.6"
